کدمحصول,عنوان,لایه درخت,نوع
1320412332,کانسنگ تیتانیوم (استخراج),5,شاخه
1320512333,روتیل,6,برگ
1320512334,ایلمنیت,6,برگ
1320512374,تیتان مگنتیت,6,برگ
1320412335,کانسنگ قلع (استخراج),5,شاخه
1320512336,کاسیتریت,6,برگ
1320412337,کانسنگ کبالت (استخراج),5,شاخه
1320512338,کبالتیت,6,برگ
1320412339,کانسنگ نیکل (استخراج),5,شاخه
1320512340,پنتلاندیت,6,برگ
1320512375,میلریت,6,برگ
1320512376,گارنیریت,6,برگ
1320512377,نیکلین,6,برگ
1320412368,کانسنگ سرب و روی,5,شاخه
1320512404,کانسنگ سرب و روی اکسیدی,6,برگ
1320512405,کانسنگ سرب و روی سولفیدی,6,برگ
1320412378,کانسنگ جیوه (استخراج),5,شاخه
1320512379,سینابر,6,برگ
1320412391,کانسنگ لیتیوم (استخراج),5,شاخه
1320512392,اسپیدومن,6,برگ
1320412393,کانسنگ عناصر نادر خاکی (استخراج),5,شاخه
1320512394,مونازیت,6,برگ
1320312341,دانه بندی و کانه آرایی کانسارهای فلزی بجز کانی های اورانیوم و توریم,4,شاخه
1320412342,فرآوری کانسارهای فلزات قیمتی,5,شاخه
1320512343,کنسانتره پلاتین,6,برگ
1320512344,کنسانتره طلا,6,برگ
1320512345,کنسانتره نقره,6,برگ
1320412346,فرآوری کانسارهای حاوی آلومینیوم,5,شاخه
1320512347,کنسانتره آلونیت,6,برگ
1320512348,کنسانتره بوکسیت,6,برگ
1320512380,کنسانتره نفلین سینیت,6,برگ
1320412349,فرآوری کانسارهای حاوی سرب و روی,5,شاخه
1320512350,کنسانتره روی,6,برگ
1320512351,کنسانتره سرب از کانسارهای حاوی سرب,6,برگ
1320512415,کنسانتره سرب از پسماند حاوی سرب,6,برگ
1320412352,فرآوری کانسارهای حاوی کروم,5,شاخه
1320512353,کرومیت دانه بندی شده,6,برگ
1320512354,کنسانتره کرومیت,6,برگ
1320412355,فرآوری کانسارهای حاوی مس,5,شاخه
1320512356,کنسانتره مس,6,شاخه
1320612381,کنسانتره مس اکسیدی,7,برگ
1320612382,کنسانتره مس سولفیدی,7,برگ
1320412357,فرآوری کانسارهای حاوی منگنز,5,شاخه
1320512358,کنسانتره منگنز,6,برگ
1320412383,فرآوری کانسارهای حاوی آنتیموان,5,شاخه
